0.59,3.7551E-02,1.1265E-01,2.6286E-01,7.5102E-02,2.1592E-01,4.6939E-01,1.5020E-01,4.2245E-01,8.4489E-01,3.0041E-01,8.4489E-01,1.3143E+00,
0.60,3.6987E-02,1.1096E-01,2.5891E-01,7.3974E-02,2.1268E-01,4.6234E-01,1.4795E-01,4.1610E-01,8.3221E-01,2.9590E-01,8.3221E-01,1.2945E+00,
0.61,3.6441E-02,1.0932E-01,2.5509E-01,7.2882E-02,2.0954E-01,4.5551E-01,1.4576E-01,4.0996E-01,8.1992E-01,2.9153E-01,8.1992E-01,1.2754E+00,
0.62,3.5912E-02,1.0773E-01,2.5138E-01,7.1823E-02,2.0649E-01,4.4889E-01,1.4365E-01,4.0400E-01,8.0801E-01,2.8729E-01,8.0801E-01,1.2569E+00,
0.63,3.5398E-02,1.0619E-01,2.4779E-01,7.0796E-02,2.0354E-01,4.4248E-01,1.4159E-01,3.9823E-01,7.9646E-01,2.8318E-01,7.9646E-01,1.2389E+00,
0.64,3.4900E-02,1.0470E-01,2.4430E-01,6.9800E-02,2.0067E-01,4.3625E-01,1.3960E-01,3.9262E-01,7.8525E-01,2.7920E-01,7.8525E-01,1.2215E+00,
0.65,3.4416E-02,1.0325E-01,2.4091E-01,6.8833E-02,1.9789E-01,4.3020E-01,1.3767E-01,3.8718E-01,7.7437E-01,2.7533E-01,7.7437E-01,1.2046E+00,
0.66,3.3947E-02,1.0184E-01,2.3763E-01,6.7893E-02,1.9519E-01,4.2433E-01,1.3579E-01,3.8190E-01,7.6380E-01,2.7157E-01,7.6380E-01,1.1881E+00,
0.67,3.3490E-02,1.0047E-01,2.3443E-01,6.6981E-02,1.9257E-01,4.1863E-01,1.3396E-01,3.7677E-01,7.5353E-01,2.6792E-01,7.5353E-01,1.1722E+00,
0.68,3.3047E-02,9.9140E-02,2.3133E-01,6.6093E-02,1.9002E-01,4.1308E-01,1.3219E-01,3.7178E-01,7.4355E-01,2.6437E-01,7.4355E-01,1.1566E+00,
0.69,3.2615E-02,9.7846E-02,2.2831E-01,6.5231E-02,1.8754E-01,4.0769E-01,1.3046E-01,3.6692E-01,7.3385E-01,2.6092E-01,7.3385E-01,1.1415E+00,
0.70,3.2196E-02,9.6587E-02,2.2537E-01,6.4391E-02,1.8513E-01,4.0245E-01,1.2878E-01,3.6220E-01,7.2440E-01,2.5757E-01,7.2440E-01,1.1269E+00,
0.71,3.1787E-02,9.5362E-02,2.2251E-01,6.3575E-02,1.8278E-01,3.9734E-01,1.2715E-01,3.5761E-01,7.1521E-01,2.5430E-01,7.1521E-01,1.1126E+00,
0.72,3.1390E-02,9.4169E-02,2.1973E-01,6.2779E-02,1.8049E-01,3.9237E-01,1.2556E-01,3.5313E-01,7.0627E-01,2.5112E-01,7.0627E-01,1.0986E+00,
0.73,3.1002E-02,9.3007E-02,2.1702E-01,6.2005E-02,1.7826E-01,3.8753E-01,1.2401E-01,3.4878E-01,6.9755E-01,2.4802E-01,6.9755E-01,1.0851E+00,
0.74,3.0625E-02,9.1875E-02,2.1438E-01,6.1250E-02,1.7609E-01,3.8281E-01,1.2250E-01,3.4453E-01,6.8907E-01,2.4500E-01,6.8907E-01,1.0719E+00,
0.75,3.0257E-02,9.0772E-02,2.1180E-01,6.0515E-02,1.7398E-01,3.7822E-01,1.2103E-01,3.4040E-01,6.8079E-01,2.4206E-01,6.8079E-01,1.0590E+00,
0.76,2.9899E-02,8.9696E-02,2.0929E-01,5.9798E-02,1.7192E-01,3.7374E-01,1.1960E-01,3.3636E-01,6.7272E-01,2.3919E-01,6.7272E-01,1.0465E+00,
0.77,2.9549E-02,8.8647E-02,2.0684E-01,5.9098E-02,1.6991E-01,3.6936E-01,1.1820E-01,3.3243E-01,6.6486E-01,2.3639E-01,6.6486E-01,1.0342E+00,
0.78,2.9208E-02,8.7624E-02,2.0446E-01,5.8416E-02,1.6795E-01,3.6510E-01,1.1683E-01,3.2859E-01,6.5718E-01,2.3366E-01,6.5718E-01,1.0223E+00,
0.79,2.8875E-02,8.6625E-02,2.0213E-01,5.7750E-02,1.6603E-01,3.6094E-01,1.1550E-01,3.2484E-01,6.4969E-01,2.3100E-01,6.4969E-01,1.0106E+00,
0.80,2.8550E-02,8.5650E-02,1.9985E-01,5.7100E-02,1.6416E-01,3.5687E-01,1.1420E-01,3.2119E-01,6.4237E-01,2.2840E-01,6.4237E-01,9.9925E-01,
0.81,2.8233E-02,8.4698E-02,1.9763E-01,5.6465E-02,1.6234E-01,3.5291E-01,1.1293E-01,3.1762E-01,6.3523E-01,2.2586E-01,6.3523E-01,9.8814E-01,
0.82,2.7922E-02,8.3767E-02,1.9546E-01,5.5845E-02,1.6055E-01,3.4903E-01,1.1169E-01,3.1413E-01,6.2826E-01,2.2338E-01,6.2826E-01,9.7729E-01,
0.83,2.7620E-02,8.2859E-02,1.9334E-01,5.5239E-02,1.5881E-01,3.4524E-01,1.1048E-01,3.1072E-01,6.2144E-01,2.2096E-01,6.2144E-01,9.6668E-01,
0.84,2.7323E-02,8.1970E-02,1.9126E-01,5.4647E-02,1.5711E-01,3.4154E-01,1.0929E-01,3.0739E-01,6.1478E-01,2.1859E-01,6.1478E-01,9.5632E-01,
0.85,2.7034E-02,8.1102E-02,1.8924E-01,5.4068E-02,1.5545E-01,3.3792E-01,1.0814E-01,3.0413E-01,6.0826E-01,2.1627E-01,6.0826E-01,9.4619E-01,
0.86,2.6751E-02,8.0253E-02,1.8726E-01,5.3502E-02,1.5382E-01,3.3439E-01,1.0700E-01,3.0095E-01,6.0189E-01,2.1401E-01,6.0189E-01,9.3628E-01,
0.87,2.6474E-02,7.9422E-02,1.8532E-01,5.2948E-02,1.5223E-01,3.3092E-01,1.0590E-01,2.9783E-01,5.9566E-01,2.1179E-01,5.9566E-01,9.2659E-01,
0.88,2.6203E-02,7.8609E-02,1.8342E-01,5.2406E-02,1.5067E-01,3.2754E-01,1.0481E-01,2.9478E-01,5.8957E-01,2.0962E-01,5.8957E-01,9.1711E-01,
0.89,2.5938E-02,7.7814E-02,1.8157E-01,5.1876E-02,1.4914E-01,3.2422E-01,1.0375E-01,2.9180E-01,5.8360E-01,2.0750E-01,5.8360E-01,9.0783E-01,
0.90,2.5678E-02,7.7035E-02,1.7975E-01,5.1357E-02,1.4765E-01,3.2098E-01,1.0271E-01,2.8888E-01,5.7776E-01,2.0543E-01,5.7776E-01,8.9874E-01,
0.91,2.5424E-02,7.6273E-02,1.7797E-01,5.0849E-02,1.4619E-01,3.1780E-01,1.0170E-01,2.8602E-01,5.7205E-01,2.0339E-01,5.7205E-01,8.8985E-01,
